Name,Address,Longitude,Latitude
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),127.0430599,37.5011154
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),127.0222905,37.5102238
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),127.0206351,37.5139392
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),127.0316927,37.4996098
대치재경빌딩R,서울특별시 강남구 남부순환로 2947 (대치동),127.0626760,37.4945786
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),127.0631379,37.5149947
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),127.0285887,37.5228353
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),127.0594275,37.5116621
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),127.0605968,37.5076008
압구정R,서울특별시 강남구 언주로 861 (신사동),127.0331634,37.5274157
수서역R,서울특별시 강남구 광평로 281 (수서동),127.1030870,37.4881219
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),127.0366398,37.4852517
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),127.0504072,37.5053676
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),127.0485264,37.5113651
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),127.0266873,37.5020758
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,127.0594275,37.5116621
강남구청정문,서울특별시 강남구 학동로 419 (청담동),127.0459958,37.5183063
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),127.0413818,37.4929277
강남R,서울특별시 강남구 강남대로 390 (역삼동),127.0287090,37.4979010
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),127.0602016,37.4990048
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),127.0564611,37.5221933
압구정,서울특별시 강남구 압구정로30길 17 (신사동),127.0295456,37.5263219
신사가로수,서울특별시 강남구 가로수길 59,127.0225386,37.5218965
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),127.0417755,37.5252561
강남우성,서울특별시 강남구 강남대로 328 (역삼동),127.0309385,37.4924281
학동사거리,서울특별시 강남구 도산대로 328 (논현동),127.0379816,37.5223957
대치사거리,서울특별시 강남구 삼성로 402 (대치동),127.0588557,37.5033724
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,127.0574627,37.5075748
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",127.0286662,37.5191620
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,127.0206793,37.5161887
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),127.0574186,37.4921910
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,127.0357737,37.5149187
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,127.0468799,37.5237774
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",127.0552500,37.4966282
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),127.0330224,37.4941840
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호,127.0594275,37.5116621
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",127.0216592,37.5231839
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",127.0392851,37.5018938
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",127.0337289,37.4994283
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",127.0255916,37.5031776
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",127.0515992,37.5243767
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),127.0579482,37.5098304
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",127.0652102,37.5078308
학동역,서울특별시 강남구 논현로 704 (논현동),127.0307899,37.5146045
대치,서울특별시 강남구 도곡로 511 (대치동),127.0622564,37.4996454
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",127.0546504,37.4897178
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",127.0556179,37.5069533
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,127.0512200,37.5037780
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",127.0281253,37.5267612
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),127.0347357,37.5267982
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),127.0389176,37.4959353
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",127.0406935,37.5023961
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",127.0412370,37.5166379
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호,127.0618767,37.4933850
포이,서울특별시 강남구 논현로 88 (개포동),127.0451614,37.4778221
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),127.0349637,37.4997343
학여울역,서울특별시 강남구 영동대로 215 (대치동),127.0685376,37.4980052
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,127.0445725,37.5107811
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),127.0527357,37.5134928
GS타워,서울특별시 강남구 논현로 508 (역삼동),127.0373364,37.5019949
압구정미소,서울특별시 강남구 논현로 841 (신사동),127.0277620,37.5240297
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",127.0485523,37.5039513
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),127.0602256,37.5152567
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),127.0394115,37.4922524
청담공원,서울특별시 강남구 학동로 506 (삼성동),127.0514887,37.5187057
신압구정,서울특별시 강남구 언주로174길 29 (신사동),127.0364849,37.5281233
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",127.0404241,37.5089816
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",127.0297218,37.4965038
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",127.0405477,37.5265481
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),127.0441312,37.5025910
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",127.0579627,37.5057792
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",127.0467695,37.5049950
논현힐탑,서울특별시 강남구 논현로 648 (논현동),127.0322915,37.5115889
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",127.0234091,37.5173572
대치한티,서울특별시 강남구 선릉로 324 (대치동),127.0520964,37.4985271
수서역사거리,서울특별시 강남구 광평로 280 (수서동),127.1031080,37.4873192
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),127.0598122,37.5130928
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),127.0413566,37.5028813
도산사거리,서울특별시 강남구 언주로 727 (논현동),127.0341007,37.5196367
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),127.0999297,37.4672743
대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동),127.0670641,37.5004652
언주역,서울특별시 강남구 봉은사로 222 (역삼동),127.0365316,37.5077680
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),127.0283079,37.4981647
삼성역,서울특별시 강남구 테헤란로 620 (대치동),127.0656011,37.5092066
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),127.0448419,37.5037720
강남논현,서울특별시 강남구 강남대로 512 (논현동),127.0234631,37.5078396
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동),127.0636033,37.5107447
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),127.0484325,37.4992883
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),127.0211389,37.6183958
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),127.0273886,37.6400289
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),127.0307281,37.6118504
수유역,서울특별시 강북구 도봉로 342 (번동),127.0261456,37.6380351
미아역,서울특별시 강북구 도봉로 196 (미아동),127.0265993,37.6261604
파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,127.0102879,37.6644244
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),126.8348939,37.5584039
마곡역,서울특별시 강서구 공항대로 168 (마곡동),126.8261369,37.5592737
우장산역,서울특별시 강서구 강서로 267 (내발산동),126.8359390,37.5496059
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),126.8338901,37.5605538
방화DT,서울특별시 강서구 방화대로 375 (방화동),126.8163804,37.5744365
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),126.8259608,37.5680581
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",126.8290062,37.5604016
가양역,서울특별시 강서구 양천로 476 (등촌동),126.8532854,37.5616037
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),126.8631430,37.5350126
양천향교역,서울특별시 강서구 강서로 463 (마곡동),126.8404559,37.5669502
화곡동,서울특별시 강서구 화곡로 142(화곡동),126.8376195,37.5405706
등촌,서울특별시 강서구 공항대로 329 (등촌동),126.8443543,37.5582758
염창역,서울특별시 강서구 공항대로 627 (염창동),126.8745461,37.5472856
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,126.8393452,37.5602435
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),126.8460657,37.5322971
화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부",126.8393222,37.5423627
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",126.8361212,37.5462462
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",126.8664122,37.5507389
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",126.8554197,37.5600240
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",126.8365498,37.5546873
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",126.8253030,37.5672498
김포공항DT,서울특별시 강서구 개화동로 517 (방화동),126.8060600,37.5662794
강서NC,서울특별시 강서구 강서로56길 17 (등촌동),126.8405062,37.5599572
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동),126.8222726,37.5669048
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동),126.8522098,37.5548095
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),126.9612248,37.4777111
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),126.9528173,37.4793256
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),126.9084306,37.4809819
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),126.9521444,37.4816412
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),126.9651316,37.4761875
사당,서울특별시 관악구 남부순환로 2082-25,126.9810098,37.4760614
보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,126.9255647,37.4910805
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),126.9305190,37.4846557
신림,서울특별시 관악구 신림로 355-1 (신림동),126.9291704,37.4861063
신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층,126.9302425,37.4838598
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),126.9513471,37.4811325
봉천역,서울특별시 관악구 남부순환로 1730 (봉천동),126.9422621,37.4820724
건국대,서울특별시 광진구 능동로 117 (화양동),127.0711477,37.5415972
어린이대공원역,서울특별시 광진구 능동로 243 (군자동),127.0763505,37.5519457
아차산역,서울특별시 광진구 천호대로 676 (구의동),127.0899332,37.5505989
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),127.0952817,37.5411606
구의DT,서울특별시 광진구 광나루로 519 (구의동),127.0872132,37.5453066
자양사거리,서울특별시 광진구 아차산로 355,127.0825914,37.5373363
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,127.0790015,37.5568276
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",127.1060634,37.5473830
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),127.0725939,37.5375105
자양,서울특별시 광진구 능동로 50 (자양동),127.0693472,37.5356631
건대입구,서울특별시 광진구 능동로 107 (화양동),127.0707420,37.5407034
구의역,서울특별시 광진구 아차산로 373 (구의동),127.0840486,37.5370045
광장,서울특별시 광진구 아차산로 537-17 (광장동),127.0996819,37.5435100
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,127.0709719,37.5386303
건대후문,서울특별시 광진구 능동로 172 (화양동),127.0739740,37.5459556
중곡역,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",127.0844568,37.5650581
자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층,127.0729962,37.5385583
뚝섬유원지역,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",127.0681986,37.5327596
군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층,127.0792261,37.5576985
금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호",126.8957474,37.4559426
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),126.8806788,37.4807624
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),126.8987870,37.4715773
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),126.9032283,37.4488933
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),126.8837813,37.4814002
금천독산,서울특별시 금천구 두산로 70 (독산동),126.8956207,37.4689627
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),126.8826362,37.4799665
W-Mall,서울특별시 금천구 디지털로 188 (가산동),126.8876842,37.4773538
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,126.8850273,37.4784856
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),126.8837009,37.4772358
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",126.8874869,37.4794816
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호",126.8880861,37.4676102
가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",126.8891282,37.4775997
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",127.0576337,37.6305211
월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동),127.0613340,37.6269007
상계초교사거리,서울특별시 노원구 노원로 449 (상계동),127.0664416,37.6566695
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),127.0742209,37.6207527
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",127.0570372,37.6608056
공릉역,서울특별시 노원구 동일로 1081 (공릉동),127.0722880,37.6263815
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",127.0760057,37.6505113
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",127.0636241,37.6545660
광운대,서울특별시 노원구 석계로 104 (월계동),127.0607341,37.6231789
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",127.0621997,37.6481635
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층,127.0600404,37.6547775
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),127.0613340,37.6269007
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),127.0793700,37.6192542
노원상계,서울특별시 노원구 동일로215길 2 (상계동),127.0609342,37.6515441
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),127.0466993,37.6516362
쌍문역,서울특별시 도봉구 도봉로 480 (창동),127.0349027,37.6483498
쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동),127.0332535,37.6453822
방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",127.0435897,37.6653467
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",126.9468626,37.5129588
남성역,서울특별시 동작구 사당로 219 (사당동),126.9726736,37.4841688
상도역,서울특별시 동작구 상도로37길 1 (상도1동),126.9484501,37.5032360
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",126.9233880,37.4922350
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),126.9805813,37.4843925
노량진역,서울특별시 동작구 노량진로 134 (노량진동),126.9409005,37.5133690
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),126.9317763,37.4999427
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),126.9581303,37.5069728
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),126.9527459,37.4968808
숭실대,서울특별시 동작구 사당로 4 (상도동),126.9548687,37.4954152
