구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,인구대비cctv비율,오차
강남구,5221,52.17137860682017,549898,544804,5094,72602,0.926353614670357,13.2028121578911,0.9494488068696375,2570.3806119093824
송파구,1586,62.83367556468173,680883,674095,6788,89539,0.9969407372485435,13.150423787934198,0.2329328239947245,1442.5409201616812
관악구,3985,99.1504247876062,516662,499374,17288,76664,3.3460947389202222,14.838327571990973,0.7712972891368051,1430.274035125124
도봉구,858,66.60194174757281,333495,331238,2257,60023,0.6767717656936386,17.99817088711975,0.257275221517564,1168.2474882183076
강서구,1617,77.88778877887789,595703,589302,6401,85992,1.0745287500650493,14.435381389719373,0.27144399138496866,1165.7772365199417
중랑구,1068,22.477064220183486,400678,395619,5059,66764,1.2626098762597397,16.66275662751636,0.26654820079964464,1152.0857314456262
구로구,3227,72.10666666666667,438308,405837,32471,67432,7.408260857661736,15.384615384615385,0.7362402693996003,898.3431554358176
성동구,2679,114.14868105515588,307193,299042,8151,44728,2.6533807736504413,14.560227609353078,0.8720901843466485,728.639767089805
강북구,1265,83.06801736613603,316750,312985,3765,61660,1.1886345698500393,19.466456195737962,0.39936858721389107,712.9343527101962
노원구,1906,42.026825633383005,535495,531037,4458,82682,0.8325007703153158,15.440293560163962,0.3559323616467007,703.0634555302513
성북구,3003,78.00829875518673,454532,442494,12038,72172,2.6484383937764555,15.87830999797594,0.660679556114861,627.5332234869611
광진구,1581,111.93029490616621,365990,350417,15573,48989,4.255034290554387,13.385338397223967,0.4319790158201044,539.0029578113849
서초구,2835,54.07608695652174,434801,430568,4233,58332,0.9735488188849611,13.415792511976743,0.6520224194516572,516.4616484920698
은평구,2962,43.091787439613526,482509,478019,4490,82245,0.9305525907288775,17.045277911914596,0.6138745598527695,505.8132120142568
강동구,1879,82.96007789678676,457042,452646,4396,66401,0.9618372053334268,14.528424083563435,0.411121953781053,503.7086976910241
동작구,1780,79.25478348439073,407802,395014,12788,63378,3.1358355280258556,15.541365662748099,0.43648633405427145,460.64009258983515
양천구,2775,90.19876627827279,460532,456339,4193,62761,0.9104687622141349,13.627934649492326,0.6025639912101657,382.2218581212601
용산구,2063,12.058663769690385,246165,229579,16586,39439,6.737757195377085,16.02136778177239,0.8380557755976683,288.71943467947494
영등포구,2495,139.44337811900192,404766,371903,32863,59373,8.119011972349456,14.66847511895762,0.6164055281323035,263.1194582852095
마포구,1935,91.77403369672945,386086,374570,11516,53283,2.982755137456422,13.800811218225991,0.5011836741036971,242.98449087624067
금천구,1634,112.48374512353708,251370,232583,18787,38508,7.473843338504993,15.319250507220433,0.6500377928949358,155.29817477527104
서대문구,2121,71.7408906882591,325875,312642,13233,53038,4.060759493670886,16.275565784426544,0.6508630609896432,116.73794579613309
동대문구,2003,39.38761308281141,362793,346156,16637,60367,4.585810641329904,16.63951619794208,0.5521054706127185,107.77888529902702
중구,1544,145.4689984101749,136469,126175,10294,23794,7.543105027515407,17.435461533388537,1.1313924774124526,86.21735720546985
종로구,1471,56.323060573857596,161984,151217,10767,28073,6.646952785460293,17.330724022125644,0.9081143816673252,60.399224012174955
