년월,시군구별,연료별,용도별, 승용 , 승합 , 화물 , 특수 , 계 
2019-01,종로구,CNG,비사업용,6,2,16,,24
2019-01,종로구,CNG,사업용,,92,,,92
2019-01,종로구,경유,비사업용,"11,053","3,266","4,114",120,"18,553"
2019-01,종로구,경유,사업용,56,224,602,53,935
2019-01,종로구,기타연료,비사업용,2,25,47,10,84
2019-01,종로구,기타연료,사업용,,,91,,91
2019-01,종로구,수소,비사업용,6,,,,6
2019-01,종로구,엘피지,비사업용,"1,736",236,341,,"2,313"
2019-01,종로구,엘피지,사업용,223,,124,,347
2019-01,종로구,전기,비사업용,127,,4,,131
2019-01,종로구,하이브리드(LPG+전기),비사업용,42,,,,42
2019-01,종로구,하이브리드(경유+전기),비사업용,2,,,,2
2019-01,종로구,하이브리드(휘발유+전기),비사업용,"1,264",,,,"1,264"
2019-01,종로구,하이브리드(휘발유+전기),사업용,9,,,,9
2019-01,종로구,휘발유,비사업용,"11,583",38,49,1,"11,671"
2019-01,종로구,휘발유,사업용,5,,,,5
2019-01,종로구,휘발유(무연),비사업용,"14,901",27,15,1,"14,944"
2019-01,종로구,휘발유(무연),사업용,200,,,,200
2019-01,종로구,휘발유(유연),비사업용,8,,,,8
2019-01,중구,CNG,비사업용,8,2,12,,22
2019-01,중구,CNG,사업용,1,13,,,14
2019-01,중구,경유,비사업용,"11,931","2,699","4,883",80,"19,593"
2019-01,중구,경유,사업용,659,272,"1,550",124,"2,605"
2019-01,중구,기타연료,비사업용,4,24,80,17,125
2019-01,중구,기타연료,사업용,,,149,,149
2019-01,중구,수소,비사업용,3,,,,3
2019-01,중구,엘피지,비사업용,"1,448",330,437,,"2,215"
2019-01,중구,엘피지,사업용,889,1,58,,948
2019-01,중구,전기,비사업용,182,2,2,,186
2019-01,중구,전기,사업용,22,,,,22
2019-01,중구,하이브리드(LPG+전기),비사업용,29,,,,29
2019-01,중구,하이브리드(경유+전기),비사업용,3,,,,3
2019-01,중구,하이브리드(휘발유+전기),비사업용,"1,068",,,,"1,068"
2019-01,중구,하이브리드(휘발유+전기),사업용,187,,,,187
2019-01,중구,휘발유,비사업용,"11,251",17,20,2,"11,290"
2019-01,중구,휘발유,사업용,189,4,,,193
2019-01,중구,휘발유(무연),비사업용,"12,575",15,29,,"12,619"
2019-01,중구,휘발유(무연),사업용,604,,,,604
2019-01,중구,휘발유(유연),비사업용,19,,,,19
2019-01,용산구,CNG,비사업용,3,1,24,1,29
2019-01,용산구,CNG,사업용,,3,,,3
2019-01,용산구,경유,비사업용,"18,556","2,020","5,384",82,"26,042"
2019-01,용산구,경유,사업용,64,65,"1,019",45,"1,193"
2019-01,용산구,기타연료,비사업용,213,29,87,7,336
